id,auto_number,auto_brand,compensated,too_much
219,Y316E877RUS,Ford Focus,7000,1
220,934497178RUS,Skoda Octavia,3800,0
221,O77997197RUS,Ford Focus,5600,1
222,8601XX154RUS,Skoda Octavia,1300,0
223,M375CH197RUS,Ford Focus,18100,1
224,Y4298M777RUS,Skoda Octavia,2000,0
225,C420X938RUS,Ford Focus,3300,0
226,O22297197RUS,Ford Focus,500,0
227,M741T9152RUS,Ford Focus,1000,1
228,9883HX152RUS,Ford Focus,1000,1
229,Y6829Y50RUS,Ford Focus,500,0
230,H004MH197RUS,Ford Focus,39600,0
231,E53677152RUS,Ford Focus,5500,1
232,704987163RUS,Ford Focus,1800,1
233,E160YX77RUS,Ford Focus,1100,1
234,E316EH197RUS,Volkswagen,1300,0
235,X758HY197RUS,Ford Focus,72600,1
236,T6419O50RUS,Ford Focus,9000,1
237,O22297197RUS,Ford Focus,500,0
238,O02597197RUS,Ford Focus,800,0
239,H963HY161RUS,Ford Focus,1400,0
240,X015HY197RUS,Toyota Corolla,16000,1
241,M6977E152RUS,Ford Focus,500,1
242,96907X197RUS,BMW,3000,0
243,X761HY197RUS,Ford Focus,18300,1
244,9938OH154RUS,Skoda Octavia,500,0
245,T769OT197RUS,Volkswagen Golf,30900,1
246,Y778EE197RUS,Volkswagen Golf,24000,0
247,7829C8197RUS,Ford Focus,1800,1
248,T6488M116RUS,Ford Focus,21000,1
249,T272HH163RUS,Ford Focus,1000,0
250,T018OX197RUS,Toyota Corolla,3400,1
251,Y255E877RUS,Ford Focus,2500,0
252,9182CE154RUS,Ford Focus,13200,1
253,O753MX161RUS,Ford Focus,700,0
254,9697MO178RUS,Volkswagen Golf,1000,0
255,C477M7161RUS,Ford Focus,5000,1
256,T686EO197RUS,Toyota Camry,500,0
257,O017KO197RUS,Ford Focus,1600,1
258,C590EY154RUS,Ford Focus,3500,1
259,T941CC96RUS,Ford Focus,2000,0
260,O22397197RUS,Ford Focus,55500,1
261,X242EC197RUS,Volkswagen Golf,10600,1
262,T020OX197RUS,Toyota Corolla,34300,0
263,E33577152RUS,Ford Focus,2000,1
264,7197TT36RUS,Ford Focus,6800,1
265,Y973O8197RUS,Ford Focus,34800,0
266,E773EH197RUS,Ford Focus,6800,1
267,T6428M116RUS,Ford Focus,6000,1
268,Y7129Y50RUS,Ford Focus,32000,1
269,Y418EX197RUS,Volkswagen Passat,900,1
270,Y7689C197RUS,Ford Focus,27000,0
271,7066C8197RUS,Volkswagen Passat,3000,0
272,X796TH96RUS,Ford Focus,500,0
273,E52877152RUS,Ford Focus,1500,0
274,7369C8197RUS,Ford Focus,20200,1
275,9409H7178RUS,Skoda Octavia,3000,1
276,Y166O8161RUS,Ford Focus,100,0
277,705287163RUS,Ford Focus,2000,1
278,K559KC161RUS,Ford Focus,100,0
279,M0299X197RUS,Ford Focus,67200,1
280,8164XX154RUS,Ford Focus,4400,1
281,92928M178RUS,Ford Focus,600,0
282,9822H8161RUS,Ford Focus,200,0
283,8603T8154RUS,Ford Focus,3000,0
284,84418C154RUS,Ford Focus,3000,0
285,Y965O8197RUS,Ford Focus,1600,0
286,E53488152RUS,Ford Focus,1800,1
287,9697MO178RUS,Volkswagen Golf,500,0
288,M256OH161RUS,Ford Focus,1600,1
289,Y7709C197RUS,Ford Focus,1500,0
290,E53277152RUS,Ford Focus,500,0
291,8201XX154RUS,Ford Focus,2600,0
292,90159H178RUS,Volkswagen Passat,600,1
293,C798ET50RUS,Ford Focus,10000,0
294,Y193O8161RUS,Ford Focus,600,1
295,7248C8197RUS,Ford Mondeo,8600,1
296,Y275O8197RUS,Ford Focus,6000,0
297,K357YE77RUS,Volkswagen Golf,5000,0
298,9697MO178RUS,Volkswagen Golf,500,0
299,Y187O8161RUS,Ford Focus,400,0
300,E0697X152RUS,Skoda Octavia,2000,0
301,M373CH197RUS,Ford Focus,6600,1
302,H982HY161RUS,Ford Focus,300,0
303,8610T8154RUS,Ford Focus,2000,0
304,E40877152RUS,Ford Focus,1000,0
305,K899T8197RUS,Ford Focus,15400,0
306,O83697197RUS,Ford Focus,6100,0
307,Y351O8197RUS,Ford Focus,1500,0
308,9941KK197RUS,Ford Focus,800,0
309,Y356O8197RUS,Ford Focus,45900,1
310,T914CT197RUS,Toyota Camry,7200,1
311,O6939X163RUS,Ford Focus,7200,0
312,Y7649C197RUS,Ford Focus,5300,1
313,M374CH197RUS,Ford Focus,5500,1
314,9935TE152RUS,Ford Focus,2500,1
315,704687163RUS,Ford Focus,1400,1
316,X523OM161RUS,Ford Focus,400,0
317,T6559O50RUS,Ford Focus,4000,1
318,7197TT36RUS,Ford Focus,6800,1
319,X765HY197RUS,Ford Focus,41700,1
320,96857X197RUS,Skoda Octavia,18900,1
321,M581CH197RUS,Ford Focus,100,0
322,H963HY161RUS,Ford Focus,1400,0
323,M302CH161RUS,Ford Focus,500,0
324,H115YO163RUS,Ford Focus,1100,0
325,9679EC178RUS,Ford Focus,500,0
326,O143HO197RUS,Toyota Corolla,30300,1
327,K436MO152RUS,Ford Focus,1500,0
328,9938OH154RUS,Skoda Octavia,500,0
329,E34877152RUS,Ford Focus,6100,1
330,E5878M777RUS,Skoda Octavia,8500,0
331,E33577152RUS,Ford Focus,1000,0
332,7147OE161RUS,Ford Focus,500,0
333,7844C8197RUS,Ford Focus,34000,1
334,X257HE161RUS,Ford Focus,5000,1
335,C584EY154RUS,Ford Focus,500,0
336,C584EY154RUS,Ford Focus,500,0
337,H214X836RUS,Ford Focus,8000,1
338,Y4298M777RUS,Skoda Octavia,2000,0
339,E28977161RUS,Ford Focus,1500,1
340,H908YK197RUS,Ford Focus,4800,0
341,T016OX197RUS,Toyota Corolla,3200,1
342,8166XX154RUS,Ford Focus,600,0
343,7363C8197RUS,Ford Focus,1600,1
344,Y357O8197RUS,Ford Focus,2200,1
345,T6039O50RUS,Ford Focus,1500,1
346,7365C8197RUS,Ford Focus,2300,0
347,Y967O8197RUS,Ford Focus,4000,0
348,E816HE77RUS,Ford Focus,3000,0
349,T6329O50RUS,Ford Focus,500,0
350,X504X8197RUS,Skoda Octavia,12600,0
351,M581CH197RUS,Ford Focus,200,0
352,M374CH197RUS,Ford Focus,5500,1
353,X523OM161RUS,Ford Focus,800,1
354,9470EX178RUS,Ford Focus,500,0
355,C412X938RUS,Ford Focus,1000,0
356,7831C8197RUS,Ford Focus,3400,1
357,8164XX154RUS,Ford Focus,4400,1
358,H004MH197RUS,Ford Focus,9900,1
359,X015HY197RUS,Toyota Corolla,24000,1
360,Y652O8197RUS,Volkswagen Touareg,5800,1
361,E53477152RUS,Ford Focus,7200,1
362,T6419O50RUS,Ford Focus,9000,1
363,E822TH36RUS,Ford Focus,12900,1
364,8437XX154RUS,Ford Focus,1600,0
365,E445TC197RUS,Ford Focus,3400,0
366,C515X938RUS,Ford Focus,1900,0
367,7172TT36RUS,Ford Focus,5700,1
368,8436XX154RUS,Ford Focus,800,0
369,E79988152RUS,Ford Focus,500,0
370,8180XX154RUS,Ford Focus,2800,0
371,9499KX178RUS,Ford Focus,2300,1
372,84438C154RUS,Ford Focus,3800,1
373,T6309O50RUS,Ford Focus,24000,1
374,9594HY161RUS,Ford Focus,300,0
375,T6129O50RUS,Ford Focus,6000,1
376,K339T8197RUS,Ford Focus,19200,1
377,8685HE154RUS,Ford Focus,2000,0
378,72457Y96RUS,Ford Focus,900,1
379,Y7449Y50RUS,Ford Focus,8000,1
380,K899T8197RUS,Ford Focus,15400,1
381,O017KO197RUS,Ford Focus,800,1
382,X782CO96RUS,Ford Focus,1000,0
383,E591HE77RUS,Ford Focus,6000,1
384,89587X197RUS,Toyota Camry,4400,0
385,Y7659C197RUS,Ford Focus,1500,0
386,9499KX178RUS,Ford Focus,2300,0
387,M581CH197RUS,Ford Focus,100,0
388,8437XX154RUS,Ford Focus,800,0
389,Y357O8197RUS,Ford Focus,2200,0
390,X760HY197RUS,Ford Focus,10100,1
391,O058M7161RUS,Ford Focus,1900,1
392,X767HY197RUS,Ford Focus,18000,1
393,H220X836RUS,Ford Focus,7000,0
394,92788M178RUS,Ford Focus,1200,0
395,H218X836RUS,Ford Focus,17500,1
396,T913CT197RUS,Toyota Camry,7900,0
397,T6439O50RUS,Ford Focus,16500,1
398,7784KT197RUS,Ford Focus,13200,1
399,X286TC36RUS,Ford Focus,500,1
400,O752MX161RUS,Ford Focus,1300,0
401,9137X938RUS,Ford Focus,1600,1
402,Y7719C197RUS,Ford Focus,4600,1
403,Y7449Y50RUS,Ford Focus,8000,0
404,H115YO163RUS,Ford Focus,1100,1
405,8818C877RUS,Volkswagen Passat,10000,1
406,7064C8197RUS,Volkswagen Passat,12800,1
407,92828M178RUS,Ford Focus,300,0
408,Y650E8750RUS,Skoda Octavia,500,0
409,X782CO96RUS,Ford Focus,1000,0
410,X767HY197RUS,Ford Focus,36000,1
411,9498KX178RUS,Ford Focus,800,1
412,83298C154RUS,Ford Focus,100,0
413,8321XX154RUS,Ford Focus,100,0
414,8316XX154RUS,Ford Focus,2200,0
415,T017OX197RUS,Toyota Corolla,12700,1
416,H977HY161RUS,Ford Focus,600,0
417,7788KT197RUS,Ford Focus,8000,1
418,X522OM161RUS,Ford Focus,1500,0
419,Y8399C197RUS,Ford Focus,600,0
420,O085E8197RUS,Volkswagen Golf,300,0
421,8166XX154RUS,Ford Focus,600,0
422,705387163RUS,Ford Focus,700,1
423,O017KO197RUS,Ford Focus,800,0
424,X4138H125RUS,Ford Focus,300,0
425,8441XX154RUS,Ford Focus,500,0
426,M0269X197RUS,Ford Focus,10300,1
427,7781KT197RUS,Ford Focus,1200,0
428,9683EC178RUS,Ford Focus,6500,0
429,T483CT96RUS,Ford Focus,500,0
430,T940CC96RUS,Ford Focus,1500,1
431,C58078163RUS,Ford Focus,100,0
432,O02397197RUS,Volkswagen Jetta,4000,0
433,T018OX197RUS,Toyota Corolla,6800,1
434,H963HY161RUS,Ford Focus,1400,0
435,8611T8154RUS,Ford Focus,2000,1
436,C583EY154RUS,Ford Focus,1000,0
437,9942KK197RUS,Ford Focus,3100,0
438,83218C154RUS,Ford Focus,100,0
439,704787163RUS,Ford Focus,2800,1
440,E53488152RUS,Ford Focus,3600,1
441,Y7129Y50RUS,Ford Focus,16000,0
442,C313MM99RUS,Toyota Camry,7500,0
443,8611T8154RUS,Ford Focus,1000,0
444,X763HY197RUS,Ford Focus,9500,1
445,M386M9197RUS,Volkswagen Golf,5800,1
446,8605T8154RUS,Ford Focus,1000,0
447,O22297197RUS,Ford Focus,500,0
448,7147OE161RUS,Ford Focus,500,0
449,O134HE197RUS,Ford Focus,7600,1
450,96429X178RUS,Ford Focus,1300,0
451,Y7379Y50RUS,Ford Focus,2000,1
452,K326T8197RUS,Volkswagen Passat,100,0
453,H982HY161RUS,Ford Focus,300,0
454,Y344E877RUS,Ford Focus,1000,0
455,7361C8197RUS,Ford Focus,1600,0
456,Y359EY197RUS,Skoda Octavia,3000,1
457,T6559O50RUS,Ford Focus,4000,0
458,X759HY197RUS,Ford Focus,12500,1
459,E53277152RUS,Ford Focus,500,0
460,X015HY197RUS,Toyota Corolla,8000,0
461,E552MO152RUS,Ford Focus,500,0
462,9469EX178RUS,Ford Focus,2100,1
463,Y6839Y50RUS,Ford Focus,3000,1
464,H237YH197RUS,Ford Focus,600,0
465,T948OM96RUS,Ford Focus,2000,0
466,T395KX197RUS,Ford Focus,15200,1
467,M301CH161RUS,Ford Focus,8000,0
468,M581CH197RUS,Ford Focus,100,0
469,E79988152RUS,Ford Focus,1500,0
470,9496KX178RUS,Ford Focus,500,0
471,9488EY178RUS,Ford Focus,1300,0
472,T6319O50RUS,Ford Focus,6500,1
473,H305T8197RUS,Ford Focus,28100,0
474,8201XX154RUS,Ford Focus,2600,1
475,O64297197RUS,Ford Focus,300,0
476,9523M8178RUS,Skoda Octavia,600,0
477,Y273O8197RUS,Ford Focus,52600,1
478,T6229O50RUS,Ford Focus,2500,1
479,9943KK197RUS,Ford Focus,19800,1
480,X023HY197RUS,Volvo,10200,1
481,8226XX154RUS,Ford Focus,1000,1
482,Y038TO197RUS,Toyota Corolla,7600,0
483,M0289X197RUS,Ford Focus,40600,1
484,E811HE77RUS,Ford Focus,7000,1
485,O785T9163RUS,Ford Focus,500,0
486,X795O796RUS,Ford Focus,2000,0
487,O39997197RUS,Ford Focus,9000,0
488,97968K152RUS,Ford Focus,500,1
489,K339T8197RUS,Ford Focus,57600,1
490,9943OH154RUS,Skoda Octavia,400,0
491,H219X836RUS,Ford Focus,1600,0
492,X782CO96RUS,Ford Focus,1000,0
493,T6169O50RUS,Ford Focus,500,0
494,Y352O8197RUS,Ford Focus,25900,1
495,Y8399C197RUS,Ford Focus,600,0
496,T940CC96RUS,Ford Focus,500,0
497,94178K154RUS,Ford Focus,500,0
498,7365C8197RUS,Ford Focus,6900,1
499,9467EX178RUS,Ford Focus,3700,1
500,O78097197RUS,Ford Focus,1400,1
501,X5707X161RUS,Volkswagen Passat,500,1
502,Y232E877RUS,Ford Focus,5000,1
503,Y388E877RUS,Ford Focus,19000,1
504,X255HE161RUS,Ford Focus,400,0
505,E552MO152RUS,Ford Focus,500,0
506,97998K152RUS,Ford Focus,6300,1
507,Y963O8197RUS,Ford Focus,21600,1
508,Y778EE197RUS,Volkswagen Golf,168000,1
509,T654HT96RUS,Toyota Corolla,2000,1
510,T477KX197RUS,Ford Focus,94000,1
511,T2639T116RUS,Ford Focus,3000,0
512,O49797197RUS,Ford Focus,5300,1
513,708187163RUS,Ford Focus,1000,1
514,O83597197RUS,Ford Focus,8000,1
515,8601XX154RUS,Skoda Octavia,3900,1
516,H387TM197RUS,Volkswagen Passat,3200,1
517,O68897197RUS,Ford Focus,8200,0
518,72457Y96RUS,Ford Focus,900,0
519,7064C8197RUS,Volkswagen Passat,12800,0
520,E948C8152RUS,Ford Focus,6000,1
521,C514X938RUS,Ford Focus,2700,1
522,C589EY154RUS,Ford Focus,4500,0
523,C420X938RUS,Ford Focus,3300,0
524,K899T8197RUS,Ford Focus,15400,1
525,T6418M116RUS,Ford Focus,24600,1
526,8607XX154RUS,Skoda Octavia,2400,1
527,92778M178RUS,Ford Focus,3000,1
528,C476M7161RUS,Ford Focus,500,1
529,T288CT96RUS,Ford Focus,4500,0
530,9679EC178RUS,Ford Focus,500,0
531,9886HX152RUS,Ford Focus,2900,1
532,C583EY154RUS,Ford Focus,1000,0
533,7788KT197RUS,Ford Focus,20000,0
534,T016OX197RUS,Toyota Corolla,9600,1
535,T6419O50RUS,Ford Focus,27000,1
536,C592EY154RUS,Ford Focus,1000,0
537,T6459O50RUS,Ford Focus,2000,0
538,Y356O8197RUS,Ford Focus,30600,1
539,X759HY197RUS,Ford Focus,12500,1
540,705787163RUS,Ford Focus,100,0
541,96429X178RUS,Ford Focus,1300,1
542,Y973O8197RUS,Ford Focus,69600,0
543,92898M178RUS,Ford Focus,1600,0
544,9671EC178RUS,Ford Focus,600,0
545,M302CH161RUS,Ford Focus,500,0
546,X023HY197RUS,Volvo,6800,1
547,M578CH197RUS,Ford Focus,9000,1
548,O77997197RUS,Ford Focus,5600,1
549,7368C8197RUS,Ford Focus,8800,1
550,9683EC178RUS,Ford Focus,6500,1
551,Y207O8161RUS,Ford Focus,500,0
552,96659X178RUS,Ford Focus,2700,0
553,T912CT197RUS,Toyota Camry,19800,1
554,M256OH161RUS,Ford Focus,1600,0
555,7183TT36RUS,Ford Focus,16200,1
556,89557X197RUS,Toyota Camry,22400,1
557,E773EH197RUS,Ford Focus,6800,1
558,Y359O8197RUS,Ford Focus,2000,0
559,K2817K154RUS,Ford Focus,4500,0
560,O017KO197RUS,Ford Focus,1600,0
561,E396MO152RUS,Ford Focus,3000,1
562,X758HY197RUS,Ford Focus,145200,1
563,X795O796RUS,Ford Focus,1000,0
564,Y964O8197RUS,Ford Focus,1000,0
565,H967HY161RUS,Ford Focus,4500,1
566,E394MO152RUS,Ford Focus,10500,1
567,O50699163RUS,Ford Focus,1100,0
568,9463EX178RUS,Ford Focus,1400,0
569,E53677152RUS,Ford Focus,5500,1
570,E33177152RUS,Ford Focus,7100,1
571,K338T8197RUS,Ford Focus,17400,1
572,O22097197RUS,Ford Focus,24300,1
573,Y4298M777RUS,Skoda Octavia,2000,1
574,Y687HM197RUS,BMW,600,0
575,8311XX154RUS,Ford Focus,4300,1
576,98037H178RUS,Ford Focus,2500,1
577,7828C8197RUS,Ford Focus,6700,1
578,H980HY161RUS,Ford Focus,1800,1
579,Y305E877RUS,Ford Focus,2500,0
580,8521XX154RUS,Ford Focus,1000,1
581,H906YK197RUS,Ford Focus,12000,0
582,7199MT197RUS,Volkswagen Golf,9300,0
583,X908XC197RUS,Volkswagen Jetta,46000,1
584,T171CC96RUS,Ford Focus,2000,1
585,X4108H125RUS,Ford Focus,1300,1
586,Y966O8197RUS,Ford Focus,10400,1
587,K2797K154RUS,Ford Focus,2400,1
588,X286TC36RUS,Ford Focus,500,0
589,7089H8163RUS,Toyota Corolla,4400,1
590,9883HX152RUS,Ford Focus,500,0
591,7841C8197RUS,Ford Focus,12000,0
592,9940KK197RUS,Ford Focus,1600,0
593,H224X836RUS,Ford Focus,7000,1
594,9028CO161RUS,Ford Focus,1500,1
595,H971HY161RUS,Ford Focus,7400,1
596,8610T8154RUS,Ford Focus,2000,0
597,M0269X197RUS,Ford Focus,20600,1
598,E316EH197RUS,Volkswagen Touareg,1300,0
599,T6359O50RUS,Ford Focus,13500,1
600,X257HE161RUS,Ford Focus,5000,0
601,H844YH197RUS,Ford Focus,3000,1
602,9523M8178RUS,Skoda Octavia,300,1
603,Y195O8161RUS,Ford Focus,100,1
604,9137X938RUS,Ford Focus,1600,0
605,E33477152RUS,Ford Focus,500,0
606,Y156E877RUS,Ford Focus,7500,1
607,E396MO152RUS,Ford Focus,3000,1
608,9939KK197RUS,Ford Focus,1600,0
609,E0697X152RUS,Skoda Octavia,2000,1
610,H908YK197RUS,Ford Focus,4800,1
611,Y969O8197RUS,Ford Focus,15600,0
612,9028CO161RUS,Ford Focus,1500,0
613,9502XX38RUS,Skoda Octavia,3000,0
